hotel_id,name,location,coordinates,star_rating,review_score,review_count,property_type,distance_to_center,distance_to_airport,chain_brand,amenities,sustainability_rating,city,country
H00001,Tokyo Royal Resort,"Tokyo, Japan","[35.620606, 139.666245]",3.0,8.5,1108,Hotel,10.5,20.3,Renaissance,"WiFi,Conference Rooms,Business Center,Kitchen,Restaurant,Pet Friendly,Pool,Airport Shuttle,Laundry,Breakfast,Concierge",1.7,Tokyo,Japan
H00002,Bangkok Park Inn,"Bangkok, Thailand","[13.783428, 100.513898]",3.0,7.4,508,Hotel,1.0,9.8,Courtyard,"Beach Access,WiFi,Kitchen,Room Service,Concierge,Spa,Business Center,Parking,Restaurant,Breakfast",2.5,Bangkok,Thailand
H00003,Rodriguez Figueroa and Sanchez Suites,"Berlin, Germany","[52.488526, 13.434886]",4.0,10.0,57,Resort,0.6,19.0,Hyatt,"Room Service,Airport Shuttle,Spa,Gym,24h Front Desk,Pool,Bar,Concierge,Parking,Restaurant,WiFi,Business Center",3.7,Berlin,Germany
H00004,Istanbul Garden Manor,"Istanbul, Turkey","[40.993615, 28.977725]",4.0,8.7,41,Resort,1.1,28.9,Best Western,"Parking,Pet Friendly,Room Service,Gym,Pool,Airport Shuttle,Spa,24h Front Desk,Restaurant,Air Conditioning,Concierge",3.1,Istanbul,Turkey
H00005,Madrid Garden Suites,"Madrid, Spain","[40.427732, -3.659712]",4.0,8.7,379,Apartment,1.3,28.4,Courtyard,"Pet Friendly,Beach Access,Room Service,Conference Rooms,Gym,Parking,Airport Shuttle,Air Conditioning",1.6,Madrid,Spain
H00006,Doyle Ltd Resort,"Istanbul, Turkey","[40.920048, 28.944554]",5.0,10.0,10,Resort,4.4,33.9,Courtyard,"Business Center,Airport Shuttle,Pool,Beach Access,Kitchen,24h Front Desk,Bar,Room Service,Restaurant,Air Conditioning,Spa,Concierge,Parking,Conference Rooms,Balcony,Laundry",1.3,Istanbul,Turkey
H00007,Mcclain Miller and Henderson Resort,"Berlin, Germany","[52.444592, 13.459982]",3.0,8.3,353,Resort,3.0,24.3,Ritz-Carlton,"Business Center,Kitchen,Breakfast,Conference Rooms,Concierge,Laundry,Parking,Room Service",1.5,Berlin,Germany
H00008,Davis and Sons Lodge,"Miami, USA","[25.811877, -80.17373]",4.0,10.0,1768,Hotel,0.1,15.8,Courtyard,"Gym,Pool,Spa,Restaurant,Bar,24h Front Desk,Airport Shuttle,Room Service,Parking,Breakfast,Laundry,Pet Friendly,Business Center,Balcony,Beach Access,Conference Rooms,WiFi,Air Conditioning",1.4,Miami,USA
H00009,Guzman Hoffman and Baldwin Inn,"Prague, Czech Republic","[50.004562, 14.489925]",2.0,8.1,172,Hotel,4.2,16.9,Ritz-Carlton,"Spa,Parking,Concierge,Bar,Laundry,WiFi",4.7,Prague,Czech Republic
H00010,Gardner Robinson and Lawrence Inn,"Madrid, Spain","[40.391712, -3.65803]",5.0,10.0,2441,Hostel,1.1,26.8,Renaissance,"Balcony,Spa,Parking,Beach Access,Room Service,Gym,Bar,24h Front Desk,Laundry,Conference Rooms,Airport Shuttle,WiFi,Concierge,Breakfast,Kitchen,Business Center,Pet Friendly",1.4,Madrid,Spain
H00011,Paris Garden Lodge,"Paris, France","[48.920287, 2.337602]",3.0,7.1,226,Hotel,1.2,23.4,Sheraton,"Business Center,Breakfast,Gym,Kitchen,Air Conditioning,Concierge,Pool,24h Front Desk,Conference Rooms",3.1,Paris,France
H00012,Barcelona Royal Inn,"Barcelona, Spain","[41.405303, 2.186278]",4.0,9.2,3938,Hotel,1.0,8.3,Marriott,"Balcony,Concierge,Room Service,Kitchen,Parking,Beach Access,Airport Shuttle,Breakfast,Bar,Business Center,Conference Rooms",1.1,Barcelona,Spain
H00013,Mumbai Palace Inn,"Mumbai, India","[19.043041, 72.877897]",4.0,9.4,328,Hotel,2.0,36.4,Four Seasons,"Kitchen,Business Center,Breakfast,WiFi,Gym,Pet Friendly,Airport Shuttle,Balcony,Spa,Pool,24h Front Desk",2.0,Mumbai,India
H00014,Rome Park Suites,"Rome, Italy","[41.940397, 12.56654]",4.0,8.5,1204,Apartment,1.2,25.8,Hilton,"Kitchen,Restaurant,Air Conditioning,Business Center,Beach Access,24h Front Desk,Room Service,Spa,Pool,Pet Friendly",1.7,Rome,Italy
H00015,Golden Tokyo Suites,"Tokyo, Japan","[35.76153, 139.693979]",2.0,7.6,154,Resort,0.6,15.8,Radisson,"Pool,24h Front Desk,Airport Shuttle,Spa,Business Center",4.7,Tokyo,Japan
H00016,Crown Sydney Lodge,"Sydney, Australia","[-33.791303, 151.170137]",3.0,8.2,2327,Resort,5.1,30.6,Marriott,"Bar,Conference Rooms,Laundry,Business Center,Gym,Balcony,24h Front Desk,Breakfast",3.2,Sydney,Australia
H00017,Blake and Sons Inn,"New York, USA","[40.696575, -74.016293]",4.0,8.5,515,Resort,6.8,27.5,Ibis,"Business Center,Bar,Concierge,Air Conditioning,Balcony,Spa,Kitchen,Room Service,WiFi,Gym,24h Front Desk,Pet Friendly,Parking,Airport Shuttle",3.6,New York,USA
H00018,Henderson Ramirez and Lewis Manor,"Istanbul, Turkey","[41.025522, 28.993054]",2.0,7.2,10,Resort,3.2,12.8,Holiday Inn,"Air Conditioning,Restaurant,Room Service,Parking,Kitchen,WiFi",1.9,Istanbul,Turkey
H00019,Silver Paris Resort,"Paris, France","[48.819041, 2.295679]",4.0,9.6,2270,Resort,2.5,22.5,W Hotels,"Pool,Breakfast,Air Conditioning,Balcony,Bar,WiFi,Conference Rooms,Beach Access,Gym,24h Front Desk,Parking,Airport Shuttle,Spa,Business Center",2.1,Paris,France
H00020,Imperial São Paulo Manor,"São Paulo, Brazil","[-23.588187, -46.637155]",3.0,8.6,2003,Hotel,2.6,30.4,Hampton Inn,"Pool,Gym,Concierge,Balcony,Airport Shuttle,Laundry,Restaurant,Spa,Air Conditioning,Bar,24h Front Desk",3.0,São Paulo,Brazil
H00021,Los Angeles Central Hotel,"Los Angeles, USA","[34.004049, -118.194841]",3.0,8.4,175,Villa,9.2,22.8,Renaissance,"Airport Shuttle,Gym,WiFi,Laundry,Spa,Pool,Conference Rooms,Air Conditioning",1.1,Los Angeles,USA
H00022,Garcia-James Resort,"Dubai, UAE","[25.2405, 55.294462]",5.0,10.0,4970,Hotel,5.7,32.8,Courtyard,"Parking,Bar,Laundry,Beach Access,WiFi,Airport Shuttle,Concierge,Conference Rooms,Restaurant,Kitchen,Pool,Gym,Pet Friendly,Air Conditioning",2.3,Dubai,UAE
H00023,Central Vienna House,"Vienna, Austria","[48.243705, 16.378424]",3.0,8.7,92,Resort,13.8,25.6,Radisson,"Beach Access,Room Service,Airport Shuttle,Breakfast,Conference Rooms,Air Conditioning,Business Center,Restaurant,WiFi,Pool,Balcony,24h Front Desk",4.5,Vienna,Austria
H00024,Barcelona Central House,"Barcelona, Spain","[41.327951, 2.227553]",4.0,9.7,534,Apartment,6.1,19.0,Hilton,"Bar,Laundry,Kitchen,Concierge,WiFi,Pool,Breakfast,Pet Friendly,Gym,Conference Rooms,Air Conditioning,Beach Access,24h Front Desk",4.7,Barcelona,Spain
H00025,Central Dubai House,"Dubai, UAE","[25.276668, 55.271165]",4.0,9.9,1906,Hostel,1.2,17.3,Ibis,"Room Service,Business Center,Spa,Pet Friendly,Concierge,Parking,Balcony,Gym,Kitchen,24h Front Desk,Airport Shuttle,Beach Access,WiFi",3.3,Dubai,UAE
H00026,Amsterdam Garden Inn,"Amsterdam, Netherlands","[52.355759, 5.019833]",2.0,6.7,202,Hotel,5.2,25.8,Hampton Inn,"Conference Rooms,Bar,Spa,24h Front Desk,Pool",2.4,Amsterdam,Netherlands
H00027,Abbott-Munoz Inn,"Amsterdam, Netherlands","[52.445619, 4.910528]",3.0,8.7,80,Hotel,2.3,46.4,Best Western,"Business Center,WiFi,Room Service,24h Front Desk,Airport Shuttle,Restaurant",3.9,Amsterdam,Netherlands
H00028,Bangkok Silver Lodge,"Bangkok, Thailand","[13.787996, 100.400543]",5.0,10.0,2378,Hotel,0.1,8.3,InterContinental,"24h Front Desk,Kitchen,Airport Shuttle,WiFi,Spa,Laundry,Restaurant,Gym,Parking,Concierge,Balcony,Pool,Room Service,Beach Access",4.9,Bangkok,Thailand
H00029,Blair PLC Lodge,"Singapore, Singapore","[1.313509, 103.902865]",5.0,9.8,432,Hotel,3.8,12.4,Holiday Inn,"Breakfast,Room Service,Conference Rooms,Pool,Concierge,WiFi,Kitchen,24h Front Desk,Air Conditioning,Airport Shuttle,Spa,Bar,Beach Access,Laundry",4.8,Singapore,Singapore
H00030,Crown Tokyo Suites,"Tokyo, Japan","[35.722093, 139.756408]",4.0,9.7,652,Apartment,0.0,12.2,Sheraton,"Parking,Balcony,Beach Access,Concierge,Airport Shuttle,Room Service,Pet Friendly,Restaurant,Conference Rooms,Gym",1.5,Tokyo,Japan
